,Date,Average Buy Size,", Average Sell Size",Max buy size,Max sell size, Buy volume,sell volume,Total volume traded, EOD Price in USD,Average Liquidity in Pool
88,04-09-20,0.0,6140621.237779998,0.0,1249566844.1608403,0.0,30703106.18889999,30703106.18889999,3190.398520901633,1993770.9863831103
89,05-09-20,0.0,5379509.95381988,0.0,112954035.60986021,0.0,16138529.86145964,16138529.86145964,301.1880322443714,234493.14241479582
90,06-09-20,0.0,14231875.434627438,0.0,51528443.69620665,0.0,28463750.869254876,28463750.869254876,468.92754396917456,913657.1682770895
91,08-09-20,174999002.23860368,17724185.65899147,314116526.1836326,300780660.54886556,349998004.47720736,70896742.63596588,420894747.11317325,1926.747583136405,2340549.546362607
92,09-09-20,0.0,26595050.780150637,0.0,81769904.1576529,0.0,53190101.560301274,53190101.560301274,348.87511809951314,353671.45770411997
93,10-09-20,94533651.0194116,10421197.62320561,94533651.0194116,676066855.0183331,94533651.0194116,20842395.24641122,115376046.26582281,353.8583338753497,1012658.2848033253
94,11-09-20,13432886.552719219,23146301.033849854,13432886.552719219,1056888180.9035417,13432886.552719219,92585204.13539942,106018090.68811864,154.02466925650404,9065055.68974486
95,12-09-20,0.0,213503546.00070876,0.0,427007092.0014175,0.0,427007092.0014175,427007092.0014175,1355.0169004370482,3536908.8564658137
96,13-09-20,0.0,7939412.146816799,0.0,198364510.87058756,0.0,31757648.587267198,31757648.587267198,1137.8975920538833,1867325.1673797474
97,14-09-20,99334765.57608023,80271369.5372314,99334765.57608023,80271369.5372314,99334765.57608023,80271369.5372314,179606135.11331165,1327.291797722338,605006.0577319608
98,15-09-20,0.0,49266811.151195996,0.0,147800433.45358798,0.0,147800433.45358798,147800433.45358798,1704.6328057730461,1365746.7650962458
99,16-09-20,19954144.15873411,0.0,19954144.15873411,0.0,19954144.15873411,0.0,19954144.15873411,236.3550800515046,253636.17234253077
100,17-09-20,0.0,30062925.332985666,0.0,6612306895.0260725,0.0,90188775.998957,90188775.998957,884.5806012406734,34737266.98609572
101,18-09-20,0.0,8521747.438952455,0.0,168294240.89435437,0.0,25565242.316857368,25565242.316857368,801.5499585661391,1421497.263565846
102,19-09-20,32933200.335702606,213938872.04247946,32933200.335702606,855755488.1699178,32933200.335702606,855755488.1699178,888688688.5056205,279.91833131541455,709035.0670353968
103,20-09-20,0.0,4339655.405954478,0.0,58250129.29102987,0.0,17358621.623817913,17358621.623817913,862.2060933328081,831044.6035659066
104,21-09-20,37782663.83085105,5633294.087131693,37782663.83085105,96745862.63974184,37782663.83085105,22533176.348526772,60315840.179377824,1920.935254048601,9809287.465972817
105,22-09-20,0.0,4422443.256842485,0.0,822157195.5784749,0.0,17689773.02736994,17689773.02736994,2257.7766829766633,1294740.1637477286
106,23-09-20,0.0,19357106.96785439,0.0,19357106.96785439,0.0,19357106.96785439,19357106.96785439,1513.2221944398937,2335937.665438498
107,24-09-20,62452623.70248045,2965691.557608943,62452623.70248045,258081309.9021293,62452623.70248045,20759840.9032626,83212464.60574305,1283.2421477023083,736226.2254233427
108,25-09-20,26660510.308197185,14289309.512042478,26660510.308197185,238213711.79278478,26660510.308197185,42867928.53612743,69528438.84432462,519.9500690930109,984517.9308421324
109,26-09-20,0.0,30869572.596730433,0.0,30869572.596730433,0.0,30869572.596730433,30869572.596730433,1293.3293910032864,210299.11658467486
110,27-09-20,0.0,118440952.19758087,0.0,355322856.5927426,0.0,355322856.5927426,355322856.5927426,1497.4874126890531,5915807.490831367
111,28-09-20,141965426.4513215,10561804.152193995,141965426.4513215,165265362.95967263,141965426.4513215,42247216.60877598,184212643.0600975,1732.808589542271,972028.4121472638
112,29-09-20,0.0,330073377.98004305,0.0,990220133.9401292,0.0,990220133.9401292,990220133.9401292,959.6228509840691,4216908.175091926
113,01-10-20,46223207.41640793,146736234.12879157,46223207.41640793,146736234.12879157,46223207.41640793,146736234.12879157,192959441.5451995,971.4068430360438,1187818.4679579646
114,02-10-20,74949564.78662193,53326698.63550124,74949564.78662193,106653397.27100249,74949564.78662193,106653397.27100249,181602962.0576244,341.9504971238643,10762557.956392132
115,03-10-20,0.0,6580254.031369525,0.0,1416941061.242368,0.0,13160508.06273905,13160508.06273905,1199.7686427558726,15207374.233312337
116,04-10-20,0.0,2759855.2402040935,0.0,149779626.21598142,0.0,13799276.201020468,13799276.201020468,409.2430007212435,1006139.1067660004
117,06-10-20,0.0,15183590.116899904,0.0,112988614.25401711,0.0,60734360.467599615,60734360.467599615,333.7507216479041,1098866.426503369
118,07-10-20,0.0,33973521.7016324,0.0,33973521.7016324,0.0,33973521.7016324,33973521.7016324,1036.2352234135594,783941.5446161377
